codigo_tuss,descricao,grupo,subgrupo,capitulo,vigencia_inicio,vigencia_fim
000697,CIRURGIAS 0697,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000698,INTERNACOES 0698,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000699,OBSTETRICIA 0699,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000700,ODONTOLOGIA 0700,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000701,CONSULTAS 0701,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000702,EXAMES 0702,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000703,TERAPIAS 0703,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000704,CIRURGIAS 0704,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000705,INTERNACOES 0705,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000706,OBSTETRICIA 0706,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000707,ODONTOLOGIA 0707,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000708,CONSULTAS 0708,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000709,EXAMES 0709,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000710,TERAPIAS 0710,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000711,CIRURGIAS 0711,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000712,INTERNACOES 0712,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000713,OBSTETRICIA 0713,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000714,ODONTOLOGIA 0714,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000715,CONSULTAS 0715,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000716,EXAMES 0716,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000717,TERAPIAS 0717,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000718,CIRURGIAS 0718,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000719,INTERNACOES 0719,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000720,OBSTETRICIA 0720,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000721,ODONTOLOGIA 0721,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000722,CONSULTAS 0722,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000723,EXAMES 0723,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000724,TERAPIAS 0724,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000725,CIRURGIAS 0725,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000726,INTERNACOES 0726,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000727,OBSTETRICIA 0727,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000728,ODONTOLOGIA 0728,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000729,CONSULTAS 0729,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000730,EXAMES 0730,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000731,TERAPIAS 0731,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000732,CIRURGIAS 0732,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
000733,INTERNACOES 0733,INTERNACOES,HOSPITALAR 5,Hospitalar,2024-01-01,
000734,OBSTETRICIA 0734,OBSTETRICIA,PARTO 6,Materno-infantil,2024-01-01,
000735,ODONTOLOGIA 0735,ODONTOLOGIA,ODONTO 7,Odontologico,2024-01-01,
000736,CONSULTAS 0736,CONSULTAS,ATENDIMENTO 8,Atendimento,2024-01-01,
000737,EXAMES 0737,EXAMES,DIAGNOSTICO 9,Diagnostico,2024-01-01,
000738,TERAPIAS 0738,TERAPIAS,REABILITACAO 1,Terapia,2024-01-01,
000739,CIRURGIAS 0739,CIRURGIAS,PROCEDIMENTOS 2,Procedimento,2024-01-01,
000740,INTERNACOES 0740,INTERNACOES,HOSPITALAR 3,Hospitalar,2024-01-01,
000741,OBSTETRICIA 0741,OBSTETRICIA,PARTO 4,Materno-infantil,2024-01-01,
000742,ODONTOLOGIA 0742,ODONTOLOGIA,ODONTO 5,Odontologico,2024-01-01,
000743,CONSULTAS 0743,CONSULTAS,ATENDIMENTO 6,Atendimento,2024-01-01,
000744,EXAMES 0744,EXAMES,DIAGNOSTICO 7,Diagnostico,2024-01-01,
000745,TERAPIAS 0745,TERAPIAS,REABILITACAO 8,Terapia,2024-01-01,
000746,CIRURGIAS 0746,CIRURGIAS,PROCEDIMENTOS 9,Procedimento,2024-01-01,
000747,INTERNACOES 0747,INTERNACOES,HOSPITALAR 1,Hospitalar,2024-01-01,
000748,OBSTETRICIA 0748,OBSTETRICIA,PARTO 2,Materno-infantil,2024-01-01,
000749,ODONTOLOGIA 0749,ODONTOLOGIA,ODONTO 3,Odontologico,2024-01-01,
000750,CONSULTAS 0750,CONSULTAS,ATENDIMENTO 4,Atendimento,2024-01-01,
000751,EXAMES 0751,EXAMES,DIAGNOSTICO 5,Diagnostico,2024-01-01,
000752,TERAPIAS 0752,TERAPIAS,REABILITACAO 6,Terapia,2024-01-01,
000753,CIRURGIAS 0753,CIRURGIAS,PROCEDIMENTOS 7,Procedimento,2024-01-01,
000754,INTERNACOES 0754,INTERNACOES,HOSPITALAR 8,Hospitalar,2024-01-01,
000755,OBSTETRICIA 0755,OBSTETRICIA,PARTO 9,Materno-infantil,2024-01-01,
000756,ODONTOLOGIA 0756,ODONTOLOGIA,ODONTO 1,Odontologico,2024-01-01,
000757,CONSULTAS 0757,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000758,EXAMES 0758,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000759,TERAPIAS 0759,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000760,CIRURGIAS 0760,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000761,INTERNACOES 0761,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000762,OBSTETRICIA 0762,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000763,ODONTOLOGIA 0763,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000764,CONSULTAS 0764,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000765,EXAMES 0765,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000766,TERAPIAS 0766,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000767,CIRURGIAS 0767,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000768,INTERNACOES 0768,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000769,OBSTETRICIA 0769,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000770,ODONTOLOGIA 0770,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000771,CONSULTAS 0771,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000772,EXAMES 0772,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000773,TERAPIAS 0773,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000774,CIRURGIAS 0774,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000775,INTERNACOES 0775,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000776,OBSTETRICIA 0776,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000777,ODONTOLOGIA 0777,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000778,CONSULTAS 0778,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000779,EXAMES 0779,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000780,TERAPIAS 0780,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000781,CIRURGIAS 0781,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000782,INTERNACOES 0782,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000783,OBSTETRICIA 0783,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000784,ODONTOLOGIA 0784,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000785,CONSULTAS 0785,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000786,EXAMES 0786,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000787,TERAPIAS 0787,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000788,CIRURGIAS 0788,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000789,INTERNACOES 0789,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000790,OBSTETRICIA 0790,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000791,ODONTOLOGIA 0791,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000792,CONSULTAS 0792,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000793,EXAMES 0793,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000794,TERAPIAS 0794,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000795,CIRURGIAS 0795,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
000796,INTERNACOES 0796,INTERNACOES,HOSPITALAR 5,Hospitalar,2024-01-01,
000797,OBSTETRICIA 0797,OBSTETRICIA,PARTO 6,Materno-infantil,2024-01-01,
000798,ODONTOLOGIA 0798,ODONTOLOGIA,ODONTO 7,Odontologico,2024-01-01,
000799,CONSULTAS 0799,CONSULTAS,ATENDIMENTO 8,Atendimento,2024-01-01,
000800,EXAMES 0800,EXAMES,DIAGNOSTICO 9,Diagnostico,2024-01-01,
000801,TERAPIAS 0801,TERAPIAS,REABILITACAO 1,Terapia,2024-01-01,
000802,CIRURGIAS 0802,CIRURGIAS,PROCEDIMENTOS 2,Procedimento,2024-01-01,
000803,INTERNACOES 0803,INTERNACOES,HOSPITALAR 3,Hospitalar,2024-01-01,
000804,OBSTETRICIA 0804,OBSTETRICIA,PARTO 4,Materno-infantil,2024-01-01,
000805,ODONTOLOGIA 0805,ODONTOLOGIA,ODONTO 5,Odontologico,2024-01-01,
000806,CONSULTAS 0806,CONSULTAS,ATENDIMENTO 6,Atendimento,2024-01-01,
000807,EXAMES 0807,EXAMES,DIAGNOSTICO 7,Diagnostico,2024-01-01,
000808,TERAPIAS 0808,TERAPIAS,REABILITACAO 8,Terapia,2024-01-01,
000809,CIRURGIAS 0809,CIRURGIAS,PROCEDIMENTOS 9,Procedimento,2024-01-01,
000810,INTERNACOES 0810,INTERNACOES,HOSPITALAR 1,Hospitalar,2024-01-01,
000811,OBSTETRICIA 0811,OBSTETRICIA,PARTO 2,Materno-infantil,2024-01-01,
000812,ODONTOLOGIA 0812,ODONTOLOGIA,ODONTO 3,Odontologico,2024-01-01,
000813,CONSULTAS 0813,CONSULTAS,ATENDIMENTO 4,Atendimento,2024-01-01,
000814,EXAMES 0814,EXAMES,DIAGNOSTICO 5,Diagnostico,2024-01-01,
000815,TERAPIAS 0815,TERAPIAS,REABILITACAO 6,Terapia,2024-01-01,
000816,CIRURGIAS 0816,CIRURGIAS,PROCEDIMENTOS 7,Procedimento,2024-01-01,
000817,INTERNACOES 0817,INTERNACOES,HOSPITALAR 8,Hospitalar,2024-01-01,
000818,OBSTETRICIA 0818,OBSTETRICIA,PARTO 9,Materno-infantil,2024-01-01,
000819,ODONTOLOGIA 0819,ODONTOLOGIA,ODONTO 1,Odontologico,2024-01-01,
000820,CONSULTAS 0820,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000821,EXAMES 0821,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000822,TERAPIAS 0822,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000823,CIRURGIAS 0823,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000824,INTERNACOES 0824,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000825,OBSTETRICIA 0825,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000826,ODONTOLOGIA 0826,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000827,CONSULTAS 0827,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000828,EXAMES 0828,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000829,TERAPIAS 0829,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000830,CIRURGIAS 0830,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000831,INTERNACOES 0831,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000832,OBSTETRICIA 0832,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000833,ODONTOLOGIA 0833,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000834,CONSULTAS 0834,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000835,EXAMES 0835,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000836,TERAPIAS 0836,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000837,CIRURGIAS 0837,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000838,INTERNACOES 0838,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000839,OBSTETRICIA 0839,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000840,ODONTOLOGIA 0840,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000841,CONSULTAS 0841,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000842,EXAMES 0842,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000843,TERAPIAS 0843,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000844,CIRURGIAS 0844,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000845,INTERNACOES 0845,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000846,OBSTETRICIA 0846,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000847,ODONTOLOGIA 0847,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000848,CONSULTAS 0848,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000849,EXAMES 0849,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000850,TERAPIAS 0850,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000851,CIRURGIAS 0851,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000852,INTERNACOES 0852,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000853,OBSTETRICIA 0853,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000854,ODONTOLOGIA 0854,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000855,CONSULTAS 0855,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000856,EXAMES 0856,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000857,TERAPIAS 0857,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000858,CIRURGIAS 0858,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
000859,INTERNACOES 0859,INTERNACOES,HOSPITALAR 5,Hospitalar,2024-01-01,
000860,OBSTETRICIA 0860,OBSTETRICIA,PARTO 6,Materno-infantil,2024-01-01,
000861,ODONTOLOGIA 0861,ODONTOLOGIA,ODONTO 7,Odontologico,2024-01-01,
000862,CONSULTAS 0862,CONSULTAS,ATENDIMENTO 8,Atendimento,2024-01-01,
000863,EXAMES 0863,EXAMES,DIAGNOSTICO 9,Diagnostico,2024-01-01,
000864,TERAPIAS 0864,TERAPIAS,REABILITACAO 1,Terapia,2024-01-01,
000865,CIRURGIAS 0865,CIRURGIAS,PROCEDIMENTOS 2,Procedimento,2024-01-01,
000866,INTERNACOES 0866,INTERNACOES,HOSPITALAR 3,Hospitalar,2024-01-01,
000867,OBSTETRICIA 0867,OBSTETRICIA,PARTO 4,Materno-infantil,2024-01-01,
000868,ODONTOLOGIA 0868,ODONTOLOGIA,ODONTO 5,Odontologico,2024-01-01,
000869,CONSULTAS 0869,CONSULTAS,ATENDIMENTO 6,Atendimento,2024-01-01,
000870,EXAMES 0870,EXAMES,DIAGNOSTICO 7,Diagnostico,2024-01-01,
000871,TERAPIAS 0871,TERAPIAS,REABILITACAO 8,Terapia,2024-01-01,
000872,CIRURGIAS 0872,CIRURGIAS,PROCEDIMENTOS 9,Procedimento,2024-01-01,
000873,INTERNACOES 0873,INTERNACOES,HOSPITALAR 1,Hospitalar,2024-01-01,
000874,OBSTETRICIA 0874,OBSTETRICIA,PARTO 2,Materno-infantil,2024-01-01,
000875,ODONTOLOGIA 0875,ODONTOLOGIA,ODONTO 3,Odontologico,2024-01-01,
000876,CONSULTAS 0876,CONSULTAS,ATENDIMENTO 4,Atendimento,2024-01-01,
000877,EXAMES 0877,EXAMES,DIAGNOSTICO 5,Diagnostico,2024-01-01,
000878,TERAPIAS 0878,TERAPIAS,REABILITACAO 6,Terapia,2024-01-01,
000879,CIRURGIAS 0879,CIRURGIAS,PROCEDIMENTOS 7,Procedimento,2024-01-01,
000880,INTERNACOES 0880,INTERNACOES,HOSPITALAR 8,Hospitalar,2024-01-01,
000881,OBSTETRICIA 0881,OBSTETRICIA,PARTO 9,Materno-infantil,2024-01-01,
000882,ODONTOLOGIA 0882,ODONTOLOGIA,ODONTO 1,Odontologico,2024-01-01,
000883,CONSULTAS 0883,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000884,EXAMES 0884,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000885,TERAPIAS 0885,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000886,CIRURGIAS 0886,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000887,INTERNACOES 0887,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000888,OBSTETRICIA 0888,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000889,ODONTOLOGIA 0889,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000890,CONSULTAS 0890,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000891,EXAMES 0891,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000892,TERAPIAS 0892,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000893,CIRURGIAS 0893,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000894,INTERNACOES 0894,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000895,OBSTETRICIA 0895,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000896,ODONTOLOGIA 0896,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000897,CONSULTAS 0897,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000898,EXAMES 0898,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000899,TERAPIAS 0899,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000900,CIRURGIAS 0900,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000901,INTERNACOES 0901,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000902,OBSTETRICIA 0902,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000903,ODONTOLOGIA 0903,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000904,CONSULTAS 0904,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000905,EXAMES 0905,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000906,TERAPIAS 0906,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000907,CIRURGIAS 0907,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000908,INTERNACOES 0908,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000909,OBSTETRICIA 0909,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000910,ODONTOLOGIA 0910,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000911,CONSULTAS 0911,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000912,EXAMES 0912,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000913,TERAPIAS 0913,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000914,CIRURGIAS 0914,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000915,INTERNACOES 0915,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000916,OBSTETRICIA 0916,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000917,ODONTOLOGIA 0917,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000918,CONSULTAS 0918,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000919,EXAMES 0919,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000920,TERAPIAS 0920,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000921,CIRURGIAS 0921,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
000922,INTERNACOES 0922,INTERNACOES,HOSPITALAR 5,Hospitalar,2024-01-01,
000923,OBSTETRICIA 0923,OBSTETRICIA,PARTO 6,Materno-infantil,2024-01-01,
000924,ODONTOLOGIA 0924,ODONTOLOGIA,ODONTO 7,Odontologico,2024-01-01,
000925,CONSULTAS 0925,CONSULTAS,ATENDIMENTO 8,Atendimento,2024-01-01,
000926,EXAMES 0926,EXAMES,DIAGNOSTICO 9,Diagnostico,2024-01-01,
000927,TERAPIAS 0927,TERAPIAS,REABILITACAO 1,Terapia,2024-01-01,
000928,CIRURGIAS 0928,CIRURGIAS,PROCEDIMENTOS 2,Procedimento,2024-01-01,
000929,INTERNACOES 0929,INTERNACOES,HOSPITALAR 3,Hospitalar,2024-01-01,
000930,OBSTETRICIA 0930,OBSTETRICIA,PARTO 4,Materno-infantil,2024-01-01,
000931,ODONTOLOGIA 0931,ODONTOLOGIA,ODONTO 5,Odontologico,2024-01-01,
000932,CONSULTAS 0932,CONSULTAS,ATENDIMENTO 6,Atendimento,2024-01-01,
000933,EXAMES 0933,EXAMES,DIAGNOSTICO 7,Diagnostico,2024-01-01,
000934,TERAPIAS 0934,TERAPIAS,REABILITACAO 8,Terapia,2024-01-01,
000935,CIRURGIAS 0935,CIRURGIAS,PROCEDIMENTOS 9,Procedimento,2024-01-01,
000936,INTERNACOES 0936,INTERNACOES,HOSPITALAR 1,Hospitalar,2024-01-01,
000937,OBSTETRICIA 0937,OBSTETRICIA,PARTO 2,Materno-infantil,2024-01-01,
000938,ODONTOLOGIA 0938,ODONTOLOGIA,ODONTO 3,Odontologico,2024-01-01,
000939,CONSULTAS 0939,CONSULTAS,ATENDIMENTO 4,Atendimento,2024-01-01,
000940,EXAMES 0940,EXAMES,DIAGNOSTICO 5,Diagnostico,2024-01-01,
000941,TERAPIAS 0941,TERAPIAS,REABILITACAO 6,Terapia,2024-01-01,
000942,CIRURGIAS 0942,CIRURGIAS,PROCEDIMENTOS 7,Procedimento,2024-01-01,
000943,INTERNACOES 0943,INTERNACOES,HOSPITALAR 8,Hospitalar,2024-01-01,
000944,OBSTETRICIA 0944,OBSTETRICIA,PARTO 9,Materno-infantil,2024-01-01,
000945,ODONTOLOGIA 0945,ODONTOLOGIA,ODONTO 1,Odontologico,2024-01-01,
000946,CONSULTAS 0946,CONSULTAS,ATENDIMENTO 2,Atendimento,2024-01-01,
000947,EXAMES 0947,EXAMES,DIAGNOSTICO 3,Diagnostico,2024-01-01,
000948,TERAPIAS 0948,TERAPIAS,REABILITACAO 4,Terapia,2024-01-01,
000949,CIRURGIAS 0949,CIRURGIAS,PROCEDIMENTOS 5,Procedimento,2024-01-01,
000950,INTERNACOES 0950,INTERNACOES,HOSPITALAR 6,Hospitalar,2024-01-01,
000951,OBSTETRICIA 0951,OBSTETRICIA,PARTO 7,Materno-infantil,2024-01-01,
000952,ODONTOLOGIA 0952,ODONTOLOGIA,ODONTO 8,Odontologico,2024-01-01,
000953,CONSULTAS 0953,CONSULTAS,ATENDIMENTO 9,Atendimento,2024-01-01,
000954,EXAMES 0954,EXAMES,DIAGNOSTICO 1,Diagnostico,2024-01-01,
000955,TERAPIAS 0955,TERAPIAS,REABILITACAO 2,Terapia,2024-01-01,
000956,CIRURGIAS 0956,CIRURGIAS,PROCEDIMENTOS 3,Procedimento,2024-01-01,
000957,INTERNACOES 0957,INTERNACOES,HOSPITALAR 4,Hospitalar,2024-01-01,
000958,OBSTETRICIA 0958,OBSTETRICIA,PARTO 5,Materno-infantil,2024-01-01,
000959,ODONTOLOGIA 0959,ODONTOLOGIA,ODONTO 6,Odontologico,2024-01-01,
000960,CONSULTAS 0960,CONSULTAS,ATENDIMENTO 7,Atendimento,2024-01-01,
000961,EXAMES 0961,EXAMES,DIAGNOSTICO 8,Diagnostico,2024-01-01,
000962,TERAPIAS 0962,TERAPIAS,REABILITACAO 9,Terapia,2024-01-01,
000963,CIRURGIAS 0963,CIRURGIAS,PROCEDIMENTOS 1,Procedimento,2024-01-01,
000964,INTERNACOES 0964,INTERNACOES,HOSPITALAR 2,Hospitalar,2024-01-01,
000965,OBSTETRICIA 0965,OBSTETRICIA,PARTO 3,Materno-infantil,2024-01-01,
000966,ODONTOLOGIA 0966,ODONTOLOGIA,ODONTO 4,Odontologico,2024-01-01,
000967,CONSULTAS 0967,CONSULTAS,ATENDIMENTO 5,Atendimento,2024-01-01,
000968,EXAMES 0968,EXAMES,DIAGNOSTICO 6,Diagnostico,2024-01-01,
000969,TERAPIAS 0969,TERAPIAS,REABILITACAO 7,Terapia,2024-01-01,
000970,CIRURGIAS 0970,CIRURGIAS,PROCEDIMENTOS 8,Procedimento,2024-01-01,
000971,INTERNACOES 0971,INTERNACOES,HOSPITALAR 9,Hospitalar,2024-01-01,
000972,OBSTETRICIA 0972,OBSTETRICIA,PARTO 1,Materno-infantil,2024-01-01,
000973,ODONTOLOGIA 0973,ODONTOLOGIA,ODONTO 2,Odontologico,2024-01-01,
000974,CONSULTAS 0974,CONSULTAS,ATENDIMENTO 3,Atendimento,2024-01-01,
000975,EXAMES 0975,EXAMES,DIAGNOSTICO 4,Diagnostico,2024-01-01,
000976,TERAPIAS 0976,TERAPIAS,REABILITACAO 5,Terapia,2024-01-01,
000977,CIRURGIAS 0977,CIRURGIAS,PROCEDIMENTOS 6,Procedimento,2024-01-01,
000978,INTERNACOES 0978,INTERNACOES,HOSPITALAR 7,Hospitalar,2024-01-01,
000979,OBSTETRICIA 0979,OBSTETRICIA,PARTO 8,Materno-infantil,2024-01-01,
000980,ODONTOLOGIA 0980,ODONTOLOGIA,ODONTO 9,Odontologico,2024-01-01,
000981,CONSULTAS 0981,CONSULTAS,ATENDIMENTO 1,Atendimento,2024-01-01,
000982,EXAMES 0982,EXAMES,DIAGNOSTICO 2,Diagnostico,2024-01-01,
000983,TERAPIAS 0983,TERAPIAS,REABILITACAO 3,Terapia,2024-01-01,
000984,CIRURGIAS 0984,CIRURGIAS,PROCEDIMENTOS 4,Procedimento,2024-01-01,
